"ID","ACCOUNT ID","?CONTACT NAME","CONTACT TITLE","ACCOUNT NAME","CONTACT MAILING STREET","CONTACT MAILING CITY","CONTACT MAILING ZIP","CONTACT MAILING STATE","CONTACT MAILING COUNTRY","ACCOUNT BILLING STREET","ACCOUNT BILLING CITY","ACCOUNT BILLING ZIP","ACCOUNT BILLING STATE","ACCOUNT BILLING COUNTRY","CONTACT PHONE NUMBER","CONTACT EMAIL ","ACCOUNT RATING","STATUS"
"0036F00002XzNFsQAN","0016F00002NE8ElQAL","Cheyenne Walter","PE Dept. Head","Fort Wayne Middle School","5163 Dictum Road","Fort Wayne","45355","IN","USA","5163 Dictum Road","Fort Wayne","45355","IN","USA","(386) 428-1641","cheyenne.walter@fortwayne.k12.edu","Warm","Item Created"
"0036F00002XzNFtQAN","0016F00002NE8EmQAL","Clayton Collier","Owner","Ranware Sports","640-7224 Tincidunt Rd.","Frederick","79676","MD","USA","640-7224 Tincidunt Rd.","Frederick","79676","MD","USA","(617) 750-9757","clayton.collier@ranwaresports.com","Cold","Item Created"
"0036F00002XzNFuQAN","0016F00002NE8EnQAL","Cody Clay","PE Teacher","Idaho Falls Middle School","P.O. Box 528, 2752 Est St.","Idaho Falls","91507","ID","USA","P.O. Box 528, 2752 Est St.","Idaho Falls","91507","ID","USA","(761) 365-2563","cody.clay@idahofalls.k12.edu","Warm","Item Created"
"0036F00002XzNFvQAN","0016F00002NE8EoQAL","Colton Griffith","Health and Wellness Coordinator","Flexquolax","P.O. Box 341, 9371 Id Avenue","San Diego","96380","CA","USA","P.O. Box 341, 9371 Id Avenue","San Diego","96380","CA","USA","(683) 970-1974","colton.griffith@flexquolax.com","Warm","Item Created"
"0036F00002XzNFwQAN","0016F00002NE8EpQAL","Cyrus Atkins","Owner","Kona Sports","Ap #991-5743 Nec Ave","Jonesboro","71807","AR","USA","Ap #991-5743 Nec Ave","Jonesboro","71807","AR","USA","(549) 935-6406","cyrus.atkins@konasports.com","Cold","Item Created"
"0036F00002XzNFxQAN","0016F00002NE8EqQAL","Dana Pugh","Director of Purchasing","Ultraflex Sports","Ap #795-4023 Interdum. St.","Saint Paul","81465","MN","USA","Ap #795-4023 Interdum. St.","Saint Paul","81465","MN","USA","(992) 658-1337","dana.pugh@ultraflexsports.com","Cold","Item Created"
"0036F00002XzNFyQAN","0016F00002NE8ErQAL","Deacon Gill","Owner","Goldings Sports","9751 Posuere Road","Kenosha","35288","WI","USA","9751 Posuere Road","Kenosha","35288","WI","USA","(282) 967-7562","deacon.gill@goldingssports.com","Cold","Item Created"
"0036F00002XzNFzQAN","0016F00002NE8EsQAL","Dean Travis","Principal","Naperville High School","2545 Ipsum. Rd.","Naperville","46907","IL","USA","2545 Ipsum. Rd.","Naperville","46907","IL","USA","(300) 787-2398","dean.travis@naperville.k12.edu","Hot","Item Created"
"0036F00002XzNG0QAN","0016F00002NE8EtQAL","Edward Cooper","Health and Wellness Coordinator","An-Lex","707-3044 Eu Av.","Norman","65737","OK","USA","707-3044 Eu Av.","Norman","65737","OK","USA","(683) 385-1229","edward.cooper@an-lex.com","Warm","Item Created"
"0036F00002XzNG1QAN","0016F00002NE8EuQAL","Emerson Burns","Principal","Mobile Elementary School","Ap #532-4711 Pharetra Rd.","Mobile","36376","AL","USA","Ap #532-4711 Pharetra Rd.","Mobile","36376","AL","USA","(244) 899-1720","emerson.burns@mobile.k12.edu","Hot","Item Created"
"0036F00002XzNG2QAN","0016F00002NE8EvQAL","Emi Bradshaw","PE Teacher","Worcester Middle School","Ap #564-6183 Lacus. Avenue","Worcester","63925","MA","USA","Ap #564-6183 Lacus. Avenue","Worcester","63925","MA","USA","(947) 694-1485","emi.bradshaw@worcester.k12.edu","Hot","Item Created"
"0036F00002XzNG3QAN","0016F00002NE8EwQAL","Emily Peters","Health and Wellness Coordinator","Treecane","345-9572 Eu Street","Sterling Heights","48761","MI","USA","345-9572 Eu Street","Sterling Heights","48761","MI","USA","(110) 392-9793","emily.peters@treecane.com","Warm","Item Created"
"0036F00002XzNG4QAN","0016F00002NE8ExQAL","Emma Mayo","Procurement","Newark Technical College","P.O. Box 413, 2005 Sollicitudin St.","Newark","54575","DE","USA","P.O. Box 413, 2005 Sollicitudin St.","Newark","54575","DE","USA","(801) 905-6489","emma.mayo@ntc.edu","Warm","Item Created"
"0036F00002XzNG5QAN","0016F00002NE8EyQAL","Erich Ingram","Health and Wellness Coordinator","Techicon","510-9197 Primis Avenue","Lowell","12037","MA","USA","510-9197 Primis Avenue","Lowell","12037","MA","USA","(936) 137-1345","erich.ingram@techicon.com","Warm","Item Created"
"0036F00002XzNG6QAN","0016F00002NE8EzQAL","Eve Gay","Pysical Education Vice Chair","University of Henderson","4979 Sodales. Street","Henderson","53974","NV","USA","4979 Sodales. Street","Henderson","53974","NV","USA","(716) 463-6047","eve.gay@yoh.edu","Warm","Item Created"
"0036F00002XzNG7QAN","0016F00002NE8F0QAL","Fletcher Hernandez","Health and Wellness Coordinator","Trusttaxon","262-237 Ac Rd.","Fort Worth","95555","TX","USA","262-237 Ac Rd.","Fort Worth","95555","TX","USA","(303) 860-4114","fletcher.hernandez@trusttaxon.com","Warm","Item Created"
"0036F00002XzNG8QAN","0016F00002NE8F1QAL","Francis Good","Human Resources Director","Tamity","3620 Dignissim Rd.","Tacoma","16796","WA","USA","3620 Dignissim Rd.","Tacoma","16796","WA","USA","(528) 342-8030","francis.good@tamity.com","Warm","Item Created"
"0036F00002XzNG9QAN","0016F00002NE8F2QAL","Gareth Park","PE Teacher","Phoenix Middle School","Ap #978-8321 Non St.","Phoenix","86159","AZ","USA","Ap #978-8321 Non St.","Phoenix","86159","AZ","USA","(685) 148-8801","gareth.park@phoenix.k12.edu","Hot","Item Created"
"0036F00002XzNGAQA3","0016F00002NE8F3QAL","Gisela Waller","Owner","Spinflex Sports","115-4609 Ut Av.","Columbus","56979","OH","USA","115-4609 Ut Av.","Columbus","56979","OH","USA","(939) 856-3878","gisela.waller@spinflexsports.com","Cold","Item Created"
"0036F00002XzNGBQA3","0016F00002NE8F4QAL","Harrison Cantrell","Principal","Miami Middle School","Ap #852-435 Sed St.","Miami","65093","FL","USA","Ap #852-435 Sed St.","Miami","65093","FL","USA","(498) 664-0177","harrison.cantrell@miami.k12.edu","Hot","Item Created"
"0036F00002XzNGCQA3","0016F00002NE8F5QAL","Hilel Harris","Owner","Top Holdings Sports","456-797 Senectus Rd.","Wichita","39240","KS","USA","456-797 Senectus Rd.","Wichita","39240","KS","USA","(276) 297-2496","hilel.harris@holdingssports.com","Cold","Item Created"
"0036F00002XzNGDQA3","0016F00002NE8F6QAL","Hollee Davidson","PE Teacher","Norfolk Elementary School","1068 Non Av.","Norfolk","58374","VA","USA","1068 Non Av.","Norfolk","58374","VA","USA","(615) 814-6894","hollee.davidson@norfolk.k12.edu","Hot","Item Created"
"0036F00002XzNGEQA3","0016F00002NE8F7QAL","Hop Fletcher","Physical Education Chair","University of Tallahassee","657-9049 Viverra. Road","Tallahassee","37074","FL","USA","657-9049 Viverra. Road","Tallahassee","37074","FL","USA","(764) 783-2090","hop.fletcher@uot.edu","Warm","Item Created"
"0036F00002XzNGFQA3","0016F00002NE8F8QAL","Hyatt Best","Principal","Mobile High School","8371 Scelerisque Rd.","Mobile","36567","AL","USA","8371 Scelerisque Rd.","Mobile","36567","AL","USA","(640) 899-9001","hyatt.best@mobile.k12.edu","Hot","Item Created"
"0036F00002XzNGGQA3","0016F00002NE8F9QAL","Iona Foley","PE Dept. Head","Duluth Elementary School","P.O. Box 837, 3576 Nibh. Ave","Duluth","63489","MN","USA","P.O. Box 837, 3576 Nibh. Ave","Duluth","63489","MN","USA","(697) 577-0546","iona.foley@duluth.k12.edu","Hot","Item Created"
"0036F00002XzNGHQA3","0016F00002NE8FAQA1","Jack Merritt","Owner","Konk Sports","Ap #545-8059 Parturient St.","Colchester","91656","VT","USA","Ap #545-8059 Parturient St.","Colchester","91656","VT","USA","(975) 364-0158","jack.merritt@konksports.com","Cold","Item Created"
"0036F00002XzNGIQA3","0016F00002NE8FBQA1","Jacqueline Pennington","Pysical Education Vice Chair","Athens Technical College","P.O. Box 982, 761 Semper St.","Athens","38215","GA","USA","P.O. Box 982, 761 Semper St.","Athens","38215","GA","USA","(671) 401-7219","jacqueline.pennington@atc.edu","Warm","Item Created"
"0036F00002XzNGJQA3","0016F00002NE8FCQA1","Jada Miles","Owner","Jooba Sports","9428 Interdum. Rd.","Seattle","57440","WA","USA","9428 Interdum. Rd.","Seattle","57440","WA","USA","(997) 476-5549","jada.miles@joobasports.com","Cold","Item Created"
"0036F00002XzNGKQA3","0016F00002NE8FDQA1","Jessamine Mcclure","Physical Education Chair","University of College","1226 Rutrum Road","College","99535","AK","USA","1226 Rutrum Road","College","99535","AK","USA","(571) 916-4456","jessamine.mcclure@uoc.edu","Warm","Item Created"
"0036F00002XzNGLQA3","0016F00002NE8FEQA1","Jessamine Torres","PE Teacher","Tuscaloosa High School","666-5506 Praesent Road","Tuscaloosa","36106","AL","USA","666-5506 Praesent Road","Tuscaloosa","36106","AL","USA","(206) 155-3527","jessamine.torres@tuscaloosa.k12.edu","Warm","Item Created"
"0036F00002XzNGMQA3","0016F00002NE8FFQA1","Joshua Case","PE Teacher","Jonesboro High School","104-7641 Nec Rd.","Jonesboro","71097","AR","USA","104-7641 Nec Rd.","Jonesboro","71097","AR","USA","(802) 509-5628","joshua.case@jonesboro.k12.edu","Hot","Item Created"
"0036F00002XzNGNQA3","0016F00002NE8FGQA1","Joshua Maxwell","Human Resources Director","Voltechno","651-4683 Nec Av.","Tampa","62319","FL","USA","651-4683 Nec Av.","Tampa","62319","FL","USA","(735) 886-3236","joshua.maxwell@voltechno.com","Warm","Item Created"
"0036F00002XzNGOQA3","0016F00002NE8FHQA1","Juliet Collier","PE Dept. Head","Chattanooga Elementary School","5701 Nunc St.","Chattanooga","48883","TN","USA","5701 Nunc St.","Chattanooga","48883","TN","USA","(260) 212-2998","juliet.collier@chattanooga.k12.edu","Hot","Item Created"
"0036F00002XzNGPQA3","0016F00002NE8FIQA1","Kalia Reid","Director of Purchasing","HighTech Sports","1274 Dis Road","Toledo","44796","OH","USA","1274 Dis Road","Toledo","44796","OH","USA","(596) 263-8893","kalia.reid@hightechsports.com","Cold","Item Created"
"0036F00002XzNGQQA3","0016F00002NE8FJQA1","Keefe Hendricks","Director of Purchasing","Holton Sports","Ap #581-9395 Nulla. Ave","Knoxville","59996","TN","USA","Ap #581-9395 Nulla. Ave","Knoxville","59996","TN","USA","(774) 340-0272","keefe.hendricks@holtonsports.com","Cold","Item Created"
"0036F00002XzNGRQA3","0016F00002NE8FKQA1","Kirk Petty","Pysical Education Vice Chair","University of Kansas City","8668 Dolor. Avenue","Kansas City","40044","MO","USA","8668 Dolor. Avenue","Kansas City","40044","MO","USA","(473) 543-1642","kirk.petty@uokc.edu","Warm","Item Created"
"0036F00002XzNGSQA3","0016F00002NE8FLQA1","Kyla Oconnor","Physical Education Chair","University of Baltimore","9769 Leo. Avenue","Baltimore","64715","MD","USA","9769 Leo. Avenue","Baltimore","64715","MD","USA","(320) 965-8454","kyla.oconnor@uob.edu","Warm","Item Created"
"0036F00002XzNGTQA3","0016F00002NE8FMQA1","Lacy Vaughan","Owner","Siliconflex Sports","8089 Amet, Street","Jackson","90147","MS","USA","8089 Amet, Street","Jackson","90147","MS","USA","(475) 281-5821","lacy.vaughan@siliconflexsports.com","Cold","Item Created"
"0036F00002XzNGUQA3","0016F00002NE8FNQA1","Laura Weaver","PE Teacher","Springdale Middle School","389-3691 Sed St.","Springdale","72447","AZ","USA","389-3691 Sed St.","Springdale","72447","AZ","USA","(140) 863-1897","laura.weaver@springdale.k12.edu","Warm","Item Created"
"0036F00002XzNGVQA3","0016F00002NE8FOQA1","Leila Branch","Director of Purchasing","Joy Sports","P.O. Box 522, 5828 Cursus Road","Allentown","48950","PA","USA","P.O. Box 522, 5828 Cursus Road","Allentown","48950","PA","USA","(208) 753-5066","leila.branch@joysports.com","Cold","Item Created"
"0036F00002XzNGWQA3","0016F00002NE8FPQA1","Len Hill","Owner","City Sports","9512 Parturient Road","Fort Smith","72780","AR","USA","9512 Parturient Road","Fort Smith","72780","AR","USA","(593) 475-2929","len.hill@citysports.com","Cold","Item Created"
"0036F00002XzNGXQA3","0016F00002NE8FQQA1","Lewis Nolan","Procurement","Des Moines Technical College","498-2595 Scelerisque Avenue","Des Moines","76019","IA","USA","498-2595 Scelerisque Avenue","Des Moines","76019","IA","USA","(400) 232-5848","lewis.nolan@dmtc.edu","Warm","Item Created"
"0036F00002XzNGYQA3","0016F00002NE8FRQA1","Lucius Maynard","PE Teacher","Omaha Elementary School","P.O. Box 192, 4889 Tempor Avenue","Omaha","61185","NV","USA","P.O. Box 192, 4889 Tempor Avenue","Omaha","61185","NV","USA","(709) 103-7389","lucius.maynard@omaha.k12.edu","Warm","Item Created"
"0036F00002XzNGZQA3","0016F00002NE8FSQA1","Macey Harmon","Procurement","Kansas City Technical College","247-1181 Cras Road","Kansas City","18473","MO","USA","247-1181 Cras Road","Kansas City","18473","MO","USA","(751) 792-2837","macey.harmon@kctc.edu","Warm","Item Created"
"0036F00002XzNGaQAN","0016F00002NE8FTQA1","Macon Bernard","Human Resources Director","Transcone","P.O. Box 914, 6951 Lacus. Av.","West Valley City","81077","UT","USA","P.O. Box 914, 6951 Lacus. Av.","West Valley City","81077","UT","USA","(904) 909-0747","macon.bernard@transcone.com","Warm","Item Created"
"0036F00002XzNGbQAN","0016F00002NE8FUQA1","Malik Hernandez","Director of Purchasing","Sunmedia Sports","Ap #923-1334 Non Rd.","Jonesboro","71114","AR","USA","Ap #923-1334 Non Rd.","Jonesboro","71114","AR","USA","(982) 523-1317","malik.hernandez@sunmediasports.com","Cold","Item Created"
"0036F00002XzNGcQAN","0016F00002NE8FVQA1","Malik Mendez","Human Resources Director","Techlux","Ap #138-8594 Amet, Rd.","Tallahassee","14632","FL","USA","Ap #138-8594 Amet, Rd.","Tallahassee","14632","FL","USA","(242) 368-3292","malik.mendez@techlux.com","Warm","Item Created"
"0036F00002XzNGdQAN","0016F00002NE8FWQA1","Megan Abbott","Human Resources Director","Geoanhex","P.O. Box 286, 9519 Aliquet Road","Gulfport","21390","MS","USA","P.O. Box 286, 9519 Aliquet Road","Gulfport","21390","MS","USA","(175) 311-8483","megan.abbott@geoanhex.com","Warm","Item Created"
"0036F00002XzNGeQAN","0016F00002NE8FXQA1","Mercedes Grimes","Physical Education Chair","University of Los Angeles","890-2568 Vel Street","Los Angeles","90525","CA","USA","890-2568 Vel Street","Los Angeles","90525","CA","USA","(254) 834-4397","mercedes.grimes@uola.edu","Warm","Item Created"
"0036F00002XzNGfQAN","0016F00002NE8FYQA1","Michelle Beard","Director of Purchasing","Redcity Sports","5622 Aliquam Street","Newport News","12049","VA","USA","5622 Aliquam Street","Newport News","12049","VA","USA","(575) 806-3936","michelle.beard@redcitysports.com","Cold","Item Created"
"0036F00002XzNGgQAN","0016F00002NE8FZQA1","Mollie Merrill","PE Teacher","Provo High School","Ap #181-9351 Dis Rd.","Provo","59287","UT","USA","Ap #181-9351 Dis Rd.","Provo","59287","UT","USA","(587) 772-7567","mollie.merrill@fortsmith.k12.edu","Cold","Item Created"
"0036F00002XzNGhQAN","0016F00002NE8FaQAL","Montana Todd","Director of Purchasing","StreetSmart Sports","P.O. Box 564, 6052 Congue. Street","Harrisburg","74032","PA","USA","P.O. Box 564, 6052 Congue. Street","Harrisburg","74032","PA","USA","(685) 526-5376","montana.todd@streetsmartsports.com","Cold","Item Created"
"0036F00002XzNGiQAN","0016F00002NE8FbQAL","Nash Baker","Director of Purchasing","Zooable Sports","321-1389 Faucibus Road","Knoxville","20832","TN","USA","321-1389 Faucibus Road","Knoxville","20832","TN","USA","(961) 262-0870","nash.baker@zooablesports.com","Cold","Item Created"
"0036F00002XzNGjQAN","0016F00002NE8FcQAL","Nash Mullen","PE Teacher","Grand Rapids High School","P.O. Box 189, 5781 Nulla St.","Grand Rapids","46322","MI","USA","P.O. Box 189, 5781 Nulla St.","Grand Rapids","46322","MI","USA","(351) 629-1090","nash.mullen@grandrapids.k12.edu","Hot","Item Created"
"0036F00002XzNGkQAN","0016F00002NE8FdQAL","Nathaniel Hull","Procurement","Broken Arrow Technical College","Ap #331-2276 At Av.","Broken Arrow","89006","OK","USA","Ap #331-2276 At Av.","Broken Arrow","89006","OK","USA","(633) 657-0136","nathaniel.hull@batc.edu","Warm","Item Created"
"0036F00002XzNGlQAN","0016F00002NE8FeQAL","Nell Cooley","PE Teacher","Grand Rapids Elementary School","P.O. Box 588, 8313 Rutrum, Street","Grand Rapids","28699","MI","USA","P.O. Box 588, 8313 Rutrum, Street","Grand Rapids","28699","MI","USA","(166) 537-2091","nell.cooley@grandrapids.k12.edu","Hot","Item Created"
"0036F00002XzNGmQAN","0016F00002NE8FfQAL","Oliver Dixon","Accountant","Acestrip Sports","P.O. Box 357, 1230 At, Ave","Worcester","96168","MA","USA","P.O. Box 357, 1230 At, Ave","Worcester","96168","MA","USA","(171) 752-0631","oliver.dixon@acestripsports.com","Cold","Item Created"
"0036F00002XzNGnQAN","0016F00002NE8FgQAL","Olivia Nolan","PE Teacher","St. Petersburg Middle School","P.O. Box 757, 8387 Sit Ave","St. Petersburg","12370","FL","USA","P.O. Box 757, 8387 Sit Ave","St. Petersburg","12370","FL","USA","(975) 957-2549","olivia.nolan@st.petersburg.k12.edu","Hot","Item Created"
"0036F00002XzNGoQAN","0016F00002NE8FhQAL","Pascale Newton","Procurement","Kansas City High School","1820 Dolor Rd.","Kansas City","43921","MO","USA","1820 Dolor Rd.","Kansas City","43921","MO","USA","(694) 598-9493","pascale.newton@kctc.edu","Warm","Item Created"
"0036F00002XzNGpQAN","0016F00002NE8FiQAL","Phillip Foster","Pysical Education Vice Chair","University of Green Bay","513-5388 Montes, Rd.","Green Bay","24213","WI","USA","513-5388 Montes, Rd.","Green Bay","24213","WI","USA","(686) 660-9029","phillip.foster@uogb.edu","Warm","Item Created"
"0036F00002XzNGqQAN","0016F00002NE8FjQAL","Phoebe Blackburn","Procurement","Bloomington Technical College","802-5669 Ipsum. St.","Bloomington","31390","MN","USA","802-5669 Ipsum. St.","Bloomington","31390","MN","USA","(324) 657-7819","phoebe.blackburn@btc.edu","Warm","Item Created"
"0036F00002XzNGrQAN","0016F00002NE8FkQAL","Rhona Hoover","Accountant","Sanzone Sports","686-2431 Libero St.","Honolulu","45290","HI","USA","686-2431 Libero St.","Honolulu","45290","HI","USA","(805) 115-9429","rhona.hoover@sanzonesports.com","Cold","Item Created"
"0036F00002XzNGsQAN","0016F00002NE8FlQAL","Risa Skinner","PE Teacher","Saint Paul High School","9606 Eleifend, St.","Saint Paul","93819","MN","USA","9606 Eleifend, St.","Saint Paul","93819","MN","USA","(418) 719-9932","risa.skinner@wichita.k12.edu","Warm","Item Created"
"0036F00002XzNGtQAN","0016F00002NE8FmQAL","Russell Winters","Owner","Village Sports","P.O. Box 916, 6801 Donec Road","Harrisburg","27270","PA","USA","P.O. Box 916, 6801 Donec Road","Harrisburg","27270","PA","USA","(838) 356-6033","russell.winters@villagesports.com","Cold","Item Created"
"0036F00002XzNGuQAN","0016F00002NE8FnQAL","Shad Neal","Human Resources Specialist","Sanancom","Ap #325-486 Mauris St.","Rutland","92660","VT","USA","Ap #325-486 Mauris St.","Rutland","92660","VT","USA","(111) 411-2489","shad.neal@sanancom.com","Warm","Item Created"
"0036F00002XzNGvQAN","0016F00002NE8FoQAL","Sierra Medina","Principal","Kenosha Middle School","Ap #373-3196 Cursus Ave","Kenosha","10072","WI","USA","Ap #373-3196 Cursus Ave","Kenosha","10072","WI","USA","(886) 845-6680","sierra.medina@kenosha.k12.edu","Cold","Item Created"
"0036F00002XzNGwQAN","0016F00002NE8FpQAL","Skyler Monroe","Director of Purchasing","Bigfan Sports","729-9243 Tincidunt, Avenue","Georgia","78933","GA","USA","729-9243 Tincidunt, Avenue","Georgia","78933","GA","USA","(796) 234-5278","skyler.monroe@bigfansports.com","Cold","Item Created"
"0036F00002XzNGxQAN","0016F00002NE8FqQAL","Stella Hopkins","PE Dept. Head","Allentown Middle School","P.O. Box 613, 5360 Blandit. Road","Allentown","74100","PA","USA","P.O. Box 613, 5360 Blandit. Road","Allentown","74100","PA","USA","(695) 663-9709","stella.hopkins@allentown.k12.edu","Hot","Item Created"
"0036F00002XzNGyQAN","0016F00002NE8FrQAL","Tad Boyd","PE Teacher","Fresno High School","Ap #659-8952 Dignissim Street","Fresno","90312","CA","USA","Ap #659-8952 Dignissim Street","Fresno","90312","CA","USA","(277) 966-4914","tad.boyd@fresno.k12.edu","Hot","Item Created"
"0036F00002XzNGzQAN","0016F00002NE8FsQAL","Tara Roberts","Owner","Ontodrill Sports","Ap #521-4784 Nullam Rd.","Springfield","93742","MO","USA","Ap #521-4784 Nullam Rd.","Springfield","93742","MO","USA","(101) 790-2892","tara.roberts@ontodrillsports.com","Cold","Item Created"
"0036F00002XzNH0QAN","0016F00002NE8FtQAL","Tatum Mcgee","Director of Purchasing","Subit Sports","Ap #499-1272 Orci St.","Tuscaloosa","35563","AL","USA","Ap #499-1272 Orci St.","Tuscaloosa","35563","AL","USA","(576) 211-3227","tatum.mcgee@subitsports.com","Cold","Item Created"
"0036F00002XzNH1QAN","0016F00002NE8FuQAL","Thane Greene","Accountant","Datum Sports","7433 Tincidunt Av.","Helena","46609","MT","USA","7433 Tincidunt Av.","Helena","46609","MT","USA","(890) 537-8474","thane.greene@datumsports.com","Cold","Item Created"
"0036F00002XzNH2QAN","0016F00002NE8FvQAL","Thomas Rosales","Physical Education Chair","University of Spokane","Ap #469-2862 Aliquam St.","Spokane","16404","WA","USA","Ap #469-2862 Aliquam St.","Spokane","16404","WA","USA","(354) 901-8099","thomas.rosales@uos.edu","Warm","Item Created"
"0036F00002XzNH3QAN","0016F00002NE8FwQAL","Thor Weaver","Human Resources Specialist","Temp-Line","Ap #121-3613 Ultricies St.","Olympia","34516","WA","USA","Ap #121-3613 Ultricies St.","Olympia","34516","WA","USA","(472) 444-3267","thor.weaver@temp-line.com","Warm","Item Created"
"0036F00002XzNH4QAN","0016F00002NE8FxQAL","Timon Mack","Physical Education Chair","University of Fort Worth","350 Justo Av.","Fort Worth","79765","TX","USA","350 Justo Av.","Fort Worth","79765","TX","USA","(107) 935-5846","timon.mack@uofw.edu","Warm","Item Created"
"0036F00002XzNH5QAN","0016F00002NE8FyQAL","Troy Cook","PE Dept. Head","Bowling Green High School","5754 Amet, Rd.","Bowling Green","59375","KY","USA","5754 Amet, Rd.","Bowling Green","59375","KY","USA","(989) 995-4777","troy.cook@bowlinggreen.k12.edu","Hot","Item Created"
"0036F00002XzNH6QAN","0016F00002NE8FzQAL","Ulla Perez","Principal","Milwaukee Elementary School","817-7286 Vivamus St.","Milwaukee","98431","WI","USA","817-7286 Vivamus St.","Milwaukee","98431","WI","USA","(827) 190-4410","ulla.perez@milwaukee.k12.edu","Hot","Item Created"
"0036F00002XzNH7QAN","0016F00002NE8G0QAL","Ulysses Ferrell","SVP, Technology","Streetace","444-5543 Congue, Ave","Jackson","63798","MS","USA","444-5543 Congue, Ave","Jackson","63798","MS","USA","(626) 616-3322","ulysses.ferrell@city.k12.edu","Warm","Item Created"
"0036F00002XzNH8QAN","0016F00002NE8G1QAL","Vanna Combs","Accountant","DuoZone Sports","9105 Velit Rd.","Fort Smith","71830","AZ","USA","9105 Velit Rd.","Fort Smith","71830","AZ","USA","(660) 577-4034","vanna.combs@duozonesports.com","Cold","Item Created"
